date,sleeve,mode,equity,cash,exposure,drawdown,brake,benchmark_price,n_positions
2026-09-24,crypto,paper,299.34,79.8,0.7334,-0.0022,1.0,84380.0,5
2026-09-24,stocks,paper,699.65,2.1,0.997,-0.0005,1.0,767.179993,2
